Condition/&ConditionBarkWardDescription	受到森灵的保护。获得等同于4倍德鲁伊等级的临时生命，持续10分钟
Condition/&ConditionBarkWardTitle	树灵守卫
Condition/&ConditionImprovedBarkWardDescription	森灵对造成近战伤害的生物造成2d8点穿刺伤害
Condition/&ConditionImprovedBarkWardTitle	强化树灵守卫
Condition/&ConditionSuperiorBarkWardDescription	森灵赋予毒素免疫，并对造成近战伤害的生物造成3d8点穿刺伤害
Condition/&ConditionSuperiorBarkWardTitle	高等树灵守卫
Feature/&DruidForestGuardianBarkWardDescription	你获得了召唤树皮护卫保护自己的能力。以一个附赠动作，你能消耗1次荒野形态获得每等级4点临时生命值。这些临时生命值会持续10分钟，或直到你再次使用你的荒野形态
Feature/&DruidForestGuardianBarkWardTitle	树皮守卫
Feature/&DruidForestGuardianExtraAttackDescription	第6级起，你在自己回合内执行攻击动作时能发动两次攻击而非一次
Feature/&DruidForestGuardianExtraAttackTitle	额外攻击
Feature/&DruidForestGuardianImprovedBarkWardDescription	你的树皮守卫现在会长出荆棘，对近战攻击者造成伤害。成功用近战攻击击中你的敌人会受到2d8点穿刺伤害
Feature/&DruidForestGuardianImprovedBarkWardTitle	精通树皮守卫
Feature/&DruidForestGuardianMagicDescription	从第2级起，当你选择这个结社时，你能获得一个自动准备的拓展法术列表：\n{0}\n\n
Feature/&DruidForestGuardianMagicTitle	结社法术
Feature/&DruidForestGuardianSuperiorBarkWardDescription	你的树皮守卫能力现在能将3d8点穿刺伤害反射给近战攻击者。此外，树皮守卫现在能在它激活时赋予你对毒素的免疫
Feature/&DruidForestGuardianSuperiorBarkWardTitle	高等树皮守卫
Feature/&DruidForestGuardianSylvanDurabilityDescription	森林守卫天然获得了橡树般的强大复原能力。在2级时，你的最大生命值增加2点，每当你在这个职业中获得一个等级时额外增加1点
Feature/&DruidForestGuardianSylvanDurabilityTitle	木之耐力
Feature/&DruidForestGuardianSylvanWarMagicDescription	你习惯于将德鲁伊的魔法与武术能力和谐的结合。在2级时，即使你的双手都拿着武器或盾牌，你也能施展需要姿势成分的法术
Feature/&DruidForestGuardianSylvanWarMagicTitle	木之战斗施法
Subclass/&DruidForestGuardianDruidSubclassDescription	森林守卫结社的德鲁伊发誓要保护森林和所有居住其中之人。这个德鲁伊结社的成员擅长使用防护系法术和武技战斗，是战场上可怕的对手
Subclass/&DruidForestGuardianDruidSubclassTitle	森林守卫结社
