Equipment/&CEHalberdTypeTitle	Hallebardes
Equipment/&CEHandXbowTypeTitle	Arbalètes à main
Equipment/&CELongMaceTypeTitle	Longues masses
Equipment/&CEPikeTypeTitle	brochets
Equipment/&DruidicAmuletDescription	Cette amulette totémique peut être utilisée comme focus pour lancer des sorts druidiques.
Equipment/&DruidicAmuletTitle	Amulette druidique
Equipment/&Enchanted_Club_Acuteness_Description	Cette arme enchantée a été créée en utilisant les anciennes connaissances des maîtres forgerons de Manacalon. Sa conception était l'une des premières œuvres d'Elgador Keenspirit, Magesmith de l'Arcaneum.
Equipment/&Enchanted_Club_Acuteness_Title	Club d'acuité
Equipment/&Enchanted_Club_Bearclaw_Description	Cette arme enchantée a été forgée en utilisant les anciennes connaissances des maîtres forgerons de Manacalon. Les pointes acérées de la griffe de l'ours déchiquettent l'armure pour infliger des dégâts supplémentaires. La première arme de ce type a été conçue par Ildurial Stronghand.
Equipment/&Enchanted_Club_Bearclaw_Title	Club de la griffe d'ours
Equipment/&Enchanted_Club_Lightbringer_Description	Cette arme enchantée a été forgée en utilisant les anciennes connaissances des maîtres forgerons de Colthannin. Il a été conçu par Elgador Keenspirit, Magesmith of the Arcaneum pour soutenir le combat contre les créatures mort-vivantes.
Equipment/&Enchanted_Club_Lightbringer_Title	Club des porteurs de lumière
Equipment/&Enchanted_Club_Power_Description	Cette arme enchantée a été forgée en utilisant les anciennes connaissances des maîtres forgerons de Manacalon. Certaines créatures ne respectent que les forces physiques. Les arcanistes de Manacalon ont créé ce club pour donner aux champions des Légions de Fer la force que leur corps elfique ne leur offrait pas.
Equipment/&Enchanted_Club_Power_Title	Club du pouvoir
Equipment/&Enchanted_Club_Punisher_Description	Cette arme enchantée a été créée en utilisant les anciennes connaissances des maîtres forgerons de Manacalon. La combinaison du meilleur métal et de Slavestone a donné à cette hache un pouvoir de perçage incroyable.
Equipment/&Enchanted_Club_Punisher_Title	Club des punisseurs
Equipment/&Enchanted_Dart_Acuteness_Description	Cette arme enchantée a été créée en utilisant les anciennes connaissances des maîtres forgerons de Manacalon. Sa conception était l'une des premières œuvres d'Elgador Keenspirit, Magesmith de l'Arcaneum.
Equipment/&Enchanted_Dart_Acuteness_Title	Fléchette d'acuité
Equipment/&Enchanted_Dart_Frostburn_Description	Cette arme enchantée a été créée en utilisant les anciennes connaissances des maîtres forgerons de Manacalon. Il a été conçu par Keliandir Moltenheart, qui a forgé cette arme pour combattre les salamandres après qu'une exploration des plans élémentaires ait mal tourné.
Equipment/&Enchanted_Dart_Frostburn_Title	Fléchette brûle-givre
Equipment/&Enchanted_Dart_Sharpness_Description	Cette arme enchantée a été créée en utilisant les anciennes connaissances des maîtres forgerons de Manacalon. Sa conception était l'une des premières œuvres d'Elgador Keenspirit, Magesmith de l'Arcaneum.
Equipment/&Enchanted_Dart_Sharpness_Title	Fléchette de netteté
Equipment/&Enchanted_Dart_Souldrinker_Description	Cette arme enchantée a été créée en utilisant les anciennes connaissances des maîtres forgerons de Manacalon. Favori des agents de Silent Whisper, cette arme a été conçue par Cylordir Redblade.
Equipment/&Enchanted_Dart_Souldrinker_Title	Dard buveur d'âme
Equipment/&Enchanted_Handaxe_Acuteness_Description	Cette arme enchantée a été créée en utilisant les anciennes connaissances des maîtres forgerons de Manacalon. Sa conception était l'une des premières œuvres d'Elgador Keenspirit, Magesmith de l'Arcaneum.
Equipment/&Enchanted_Handaxe_Acuteness_Title	Hache d'acuité
Equipment/&Enchanted_Handaxe_Frostburn_Description	Cette arme enchantée a été créée en utilisant les anciennes connaissances des maîtres forgerons de Manacalon. Il a été conçu par Keliandir Moltenheart, qui a forgé cette arme pour combattre les salamandres après qu'une exploration des plans élémentaires ait mal tourné.
Equipment/&Enchanted_Handaxe_Frostburn_Title	Hachette brûle-givre
Equipment/&Enchanted_Handaxe_Sharpness_Description	Cette arme enchantée a été créée en utilisant les anciennes connaissances des maîtres forgerons de Manacalon. Sa conception était l'une des premières œuvres d'Elgador Keenspirit, Magesmith de l'Arcaneum.
Equipment/&Enchanted_Handaxe_Sharpness_Title	Hache d'acuité
Equipment/&Enchanted_Handaxe_Souldrinker_Description	Cette arme enchantée a été créée en utilisant les anciennes connaissances des maîtres forgerons de Manacalon. Favori des agents de Silent Whisper, cette arme a été conçue par Cylordir Redblade.
Equipment/&Enchanted_Handaxe_Souldrinker_Title	Hachette de buveur d'âmes
Equipment/&Enchanted_HeavyCrossbow_Accuracy_Description	Cette arme enchantée a été forgée en utilisant les anciennes connaissances des maîtres archers de Colthannin. Sa conception originale portait le sceau de Defineth Sharpsight, un enchanteur elfe sylvestre renommé.
Equipment/&Enchanted_HeavyCrossbow_Accuracy_Title	Arbalète lourde de précision
Equipment/&Enchanted_HeavyCrossbow_Lightbringer_Description	Cette arme enchantée a été forgée en utilisant les anciennes connaissances des maîtres archers de Colthannin. Il a été conçu par Elgador Keenspirit, Magesmith of the Arcaneum pour soutenir le combat contre les créatures mort-vivantes.
Equipment/&Enchanted_HeavyCrossbow_Lightbringer_Title	Arbalète lourde du porteur de lumière
Equipment/&Enchanted_HeavyCrossbow_Medusa_Description	Cette arme enchantée a été forgée en utilisant les anciennes connaissances des maîtres archers de Colthannin. La magie a fusionné le corail méduse et le bois dur pour créer un arc mortel, favorisé par les groupes d'embarquement des halfelins insulaires.
Equipment/&Enchanted_HeavyCrossbow_Medusa_Title	Arbalète lourde Medusa
Equipment/&Enchanted_HeavyCrossbow_Sharpshooting_Description	Cette arme enchantée a été forgée en utilisant les anciennes connaissances des maîtres archers de Colthannin. Les Coedymwarth préféraient s'occuper physiquement des arcanistes de Manacalon plutôt que magiquement. Ses meilleurs archers ont reçu des arbalètes, la création de Defineth Sharpsight.
Equipment/&Enchanted_HeavyCrossbow_Sharpshooting_Title	Arbalète lourde de tir d'élite
Equipment/&Enchanted_HeavyCrossbow_Stormbow_Description	Cette arme enchantée a été forgée en utilisant les anciennes connaissances des maîtres archers de Colthannin. Il a été conçu par Galar Stromforge, le premier forgeron nain à exploiter le pouvoir de la tempête dans une arme aux effets dévastateurs !
Equipment/&Enchanted_HeavyCrossbow_Stormbow_Title	Arbalète tempête lourde
