Class/&WitchArmorProficiencyDescription	轻型护甲
Class/&WitchArmorProficiencyTitle	巫师防具擅长
Class/&WitchBurnedFireResistanceDescription	你对火焰具有抗力
Class/&WitchBurnedFireResistanceTitle	烧伤诅咒：火焰抗力
Class/&WitchBurnedProduceFlameDescription	你学会戏法“燃火术”，其不计入你的已知戏法总数
Class/&WitchBurnedProduceFlameTitle	烧伤诅咒：燃火术
Class/&WitchCacklePowerDescription	你能使用你的附赠动作进行狂笑。60英尺内每有一个受到影响的生物,持续时间增加一轮\n不是所有的巫师讥笑的时候都会疯狂地大笑，但所有的讥笑都需要一个语言成分，比如一句话语。这些话语能是寻常的诅咒和侮辱，也能是咕哝已死之语或者倒着说话
Class/&WitchCacklePowerTitle	讥笑
Class/&WitchDescription	受到邪恶诅咒的折磨，巫师能将魔力转化为诅咒削弱敌人。他们也有他们的熟悉而忠诚的魔宠相伴，为他们抵挡致命的攻击
Class/&WitchFamiliarPowerDescription	你学会了召唤巫师魔宠，例如一个进阶的魔宠咒语,在没有施法材料的情况下也能作为仪式法术施展。这个法术不会消耗你的法术位。这个法术在以下方面提升了召唤魔宠的能力：\n• 你的魔宠将在每轮你的回合前或之后立即进行其回合（由你选择）\n• 每回合一次，以一个动作或附赠动作，你能以心灵感应命令你的魔宠使用其反应进行一次攻击\n• 当你施展法术时，你能通过你的魔宠传递，就像它施展了法术一样，即使此法术范围并非触碰\n• 你的魔宠能附加你的法术攻击加值于其攻击骰\n• 你的魔宠将你的熟练加值加至其护甲等级、豁免检定和伤害骰上\n•	你的魔宠的最大生命值获得两倍于你的巫师等级的加值
Class/&WitchFamiliarPowerTitle	魔宠
Class/&WitchFeatureSetBurnedCurseDescription	你的身体几乎都被奥术火焰烧焦了，留下了醒目的黑色疤痕和皮肤下燃烧的魔法余烬。因此，你对火焰伤害有抗性，你习得"燃火术"法术，它不计入你已知的戏法总数
Class/&WitchFeatureSetBurnedCurseTitle	烧伤诅咒
Class/&WitchFeatureSetLovelessCurseDescription	你被诅咒永远找不到真爱。心怀厌倦和不满，甚至魔法也不能使你的心意改变；相应的，你对魅惑免疫
Class/&WitchFeatureSetLovelessCurseTitle	无爱
Class/&WitchFeatureSetRitualCastingDescription	你能把你已知的任何有着仪式标签的巫师法术作为一种仪式施放
Class/&WitchFeatureSetRitualCastingTitle	巫师：仪式施法
Class/&WitchFeatureSetVisionsCurseDescription	你被诅咒而对未来产生可怕的幻觉，预示着你的朋友、家人和自己的死亡。然而纵然这些幻象中有许多是残酷的欺骗，有时它们却极其准确。你能将你的魅力和敏捷加值加至你的先攻骰上
Class/&WitchFeatureSetVisionsCurseTitle	幻视
Class/&WitchLovelessCharmImmunityDescription	你免疫魅惑
Class/&WitchLovelessCharmImmunityTitle	无爱：免疫魅惑
Class/&WitchMaledictionAbateDescription	以一个动作，在你60英尺内选择一个你能看到的生物进行一次"魅力"豁免。若其豁免失败，直到你的下一个回合结束，此生物无法使用反应
Class/&WitchMaledictionAbateTitle	迟缓巫咒
Class/&WitchMaledictionApathyDescription	以一个动作，在你60英尺内选择一个你能看到的生物进行一次"魅力"豁免。若其豁免失败，直到你的下一个回合结束，此生物会漠视你选择的一种他具有敌意的生物。若目标被它所漠视的生物攻击或被它的法术伤害，这种漠视就会结束
Class/&WitchMaledictionApathyTitle	漠视巫咒
Class/&WitchMaledictionCharmDescription	以一个动作，在你60英尺内选择一个你能看到的生物进行一次"感知"豁免。若其豁免失败，直到你的下一个回合结束，此生物被魅惑
Class/&WitchMaledictionCharmTitle	魅惑巫咒
Class/&WitchMaledictionDisorientDescription	以一个动作，在你60英尺内选择一个你能看到的生物进行一次"体质"豁免。若其豁免失败，直到你的下一个回合结束，此生物每次进行攻击骰时将从其中减去一个d6
Class/&WitchMaledictionDisorientTitle	迷失巫咒
Class/&WitchMaledictionEvilEyeDescription	以一个动作，在你60英尺内选择一个你能看到的生物进行一次"感知"豁免。若其豁免失败，直到你的下一个回合结束，此生物被你恐惧
Class/&WitchMaledictionEvilEyeTitle	邪眼巫咒
Class/&WitchMaledictionObfuscateDescription	以一个动作，你以自己为中心创造一个20英尺半径的球体迷雾。此球体扩散于各个角落，其区域内受到高度遮蔽。这个效果一直持续到你的下一个回合结束，或直到有中等或更高速度的风（至少每小时10英里）将其驱散
Class/&WitchMaledictionObfuscateTitle	迷雾巫咒
Class/&WitchMaledictionPoxDescription	以一个动作，在你60英尺内选择一个你能看到的生物进行一次"体质"豁免。若其豁免失败，直到你的下一个回合结束，此生物中毒
Class/&WitchMaledictionPoxTitle	疫病巫咒
Class/&WitchMaledictionRuinDescription	以一个动作，在你60英尺内选择一个你能看到的生物进行一次"体质"豁免。若其豁免失败，直到你的下一个回合结束，此生物的护甲等级降低3，最低为10
Class/&WitchMaledictionRuinTitle	毁灭巫咒
Class/&WitchRitualCastingMagicAffinityDescription	若法术具有仪式标签并且你已准备此法术，你能以仪式施放此法术
Class/&WitchRitualCastingMagicAffinityTitle	仪式施法
Class/&WitchSavingthrowProficiencyDescription	感知，魅力
Class/&WitchSavingthrowProficiencyTitle	巫师豁免检定熟练项
Class/&WitchSkillProficiencyDescription	从以下技能中选择两个：奥秘，欺瞒，洞悉，威吓，游说，自然和宗教
Class/&WitchSkillProficiencyTitle	巫师技能
Class/&WitchSpellcastingDescription	作为巫师你能施放巫师法术列表中的法术
Class/&WitchSpellcastingTitle	巫师施法
Class/&WitchTitle	巫师
Class/&WitchToolProficiencyDescription	从草药师工具包和制毒工具包中选择一个
Class/&WitchToolProficiencyTitle	巫师工具熟练项
Class/&WitchVisionsInitiativeDescription	将你的魅力加值加至先攻骰
Class/&WitchVisionsInitiativeTitle	幻视先攻
Class/&WitchWeaponProficiencyDescription	简易武器
Class/&WitchWeaponProficiencyTitle	巫师武器熟练项
Condition/&AbateDescription	无法使用反应
Condition/&AbateTitle	迟缓
Condition/&ApathyDescription	忽视其敌对的目标生物。若此生物受到来自目标生物的攻击或法术伤害，此忽视将结束
Condition/&ApathyTitle	漠视
Condition/&CharmDescription	将施法者视为盟友
Condition/&CharmTitle	魅惑
Condition/&DebilitatedConditionDescription	受到以下状态之一：失明/灾祸/流血/眩晕
Condition/&DebilitatedConditionTitle	衰弱
Condition/&DisorientDescription	攻击骰-1d6
Condition/&DisorientTitle	迷失
Condition/&EvilEyeDescription	恐惧。无法接近恐惧来源，若恐惧来源处于视线范围内，攻击骰和能力检定具有劣势
Condition/&EvilEyeTitle	邪眼
Condition/&FrenziedDescription	此生物发狂了，会攻击最近的生物
Condition/&FrenziedTitle	发狂
Condition/&PoxDescription	处于疫病状态
Condition/&PoxTitle	疫病
Condition/&RuinDescription	AC受到-3减值，最高-10
Condition/&RuinedDescription	AC受到-3减值，最高-10
Condition/&RuinedTitle	毁灭
Condition/&RuinTitle	毁灭
Feature/&ClassWitchMaledictionReplaceDescription	选择巫咒以替换
Feature/&ClassWitchMaledictionReplaceTitle	替换的巫咒
Feature/&WitchCurseChoiceDescription	你被一种可怕的诅咒所困扰，它感染了你的身体和灵魂
Feature/&WitchCurseChoiceTitle	巫师诅咒
Feature/&WitchMaledictionChoiceDescription	你能学习一些强大的咒语，被称为巫咒，它们源自曾诅咒你的相同的阴邪魔法
Feature/&WitchMaledictionChoiceTitle	巫咒
Feature/&WitchSightDescription	你能感知或看穿60英尺内的隐形状态
Feature/&WitchSightTitle	巫师视界
Modifier/&AttributeModifierRuinDescription	AC-3
Modifier/&AttributeModifierRuinTitle	毁灭
Modifier/&DisorientDescription	攻击骰-1d6
Modifier/&DisorientTitle	迷失
Monster/&WitchOwlFamiliarDescription	猫头鹰魔宠
Monster/&WitchOwlFamiliarTitle	猫头鹰
Screen/&CovenSpellDescription	作为巫会成员而学会的法术
Screen/&CovenSpellHeader	巫会
Screen/&CovenSpellTitle	巫会
Screen/&WitchSpellDescription	巫师的已知法术
Screen/&WitchSpellHeader	巫师
Screen/&WitchSpellTitle	巫师
Spell/&WitchFamiliarDescription	你获得魔宠的服务
Spell/&WitchFamiliarTitle	巫师魔宠
Stage/&SubclassSelectionStageCovenDescription	巫会
Stage/&SubclassSelectionStageCovenFeaturesDescription	巫会
Stage/&SubclassSelectionStageCovenFeaturesHeader	巫会特性
Stage/&SubclassSelectionStageCovenFeaturesTitle	巫会
Stage/&SubclassSelectionStageCovenHeader	选择一个巫会
Stage/&SubclassSelectionStageCovenTitle	巫会
Subclass/&BloodWitchDescription	血魔法被大多数巫会禁止，它的核心是使用黑暗咒语和凡间魔咒汲取施法者的本质。从根本上说，它比其他巫术更危险，但它的大量风险也伴随着大量的回报
Subclass/&BloodWitchMagicDescription	你获得以下法术。这些法术视为巫师法术，但并不计入你已知巫师法术数量\n\n等级法术\n1级：纠缠术，神莓术\n2级：树肤术，防护毒素\n3级：召唤动物，造粮术\n4级：巨虫术，石肤术\n5级：防护善恶，疫病虫群
Subclass/&BloodWitchMagicTitle	血魔法
Subclass/&BloodWitchTitle	血巫师
Subclass/&GreenWitchDescription	植物、自然和生长之物是绿色魔法的范畴。这些通常是德鲁伊倡导的一种奥术，一些巫师与绿色魔法的力量有着密切的联系，并能哄劝植物和动物听从他们的命令
Subclass/&GreenWitchMagicDescription	你在学习巫师法术时从额外法术列表中选择。以下法术会被添加到巫师法术列表中：\n{0}\n\n
Subclass/&GreenWitchMagicTitle	绿色魔法
Subclass/&GreenWitchTitle	绿色巫师
Subclass/&PurpleWitchDescription	紫色魔法掌握着幻觉和附魔的领域，控制着人们的思想，以及任何似是而非的东西。这种形式的魔法的练习者是操纵大师，塑造他们周围人的表层现实使之对自己有利
Subclass/&PurpleWitchMagicDescription	你在学习巫师法术时从额外法术列表中选择。以下法术会被添加到巫师法术列表中：\n{0}\n\n
Subclass/&PurpleWitchMagicTitle	紫色魔法
Subclass/&PurpleWitchTitle	紫色巫师
Subclass/&RedWitchDescription	与引导元素相关的奥术魔法被认为是红色魔法，使用时非常危险。专注于红色魔法的巫师是现存最致命的施法者之一，她们将自己的诅咒转化为不受阻碍的奥术之怒
Subclass/&RedWitchMagicDescription	你在学习巫师法术时从额外法术列表中选择。以下法术会被添加到巫师法术列表中：\n{0}\n\n
Subclass/&RedWitchMagicTitle	红色魔法
Subclass/&RedWitchTitle	红色巫师
