PartyBanter/&Cynical1_Trap_Detected_Self	Wait! A trap!
PartyBanter/&Cynical2_Trap_Detected_Self	Hold it! A trap!
PartyBanter/&Cynical3_Trap_Detected_Self	I see a trap.
PartyBanter/&Cynical1_Secret_door_Detected_Self	Look! A secret door!
PartyBanter/&Cynical2_Secret_door_Detected_Self	There's a door, here.
PartyBanter/&Cynical3_Secret_door_Detected_Self	I see a hidden door.
PartyBanter/&Cynical1_Trap_Trigerred_Self	How did I miss that?
PartyBanter/&Cynical2_Trap_Trigerred_Self	It was just waiting for me!
PartyBanter/&Cynical3_Trap_Trigerred_Self	I'm smarter than that!
PartyBanter/&Cynical1_Trap_Disarmed_Self	Too easy!
PartyBanter/&Cynical2_Trap_Disarmed_Self	I just needed one hand.
PartyBanter/&Cynical3_Trap_Disarmed_Self	Piece of cake.
PartyBanter/&Cynical1_Light_up_Self	Let there be light!
PartyBanter/&Cynical2_Light_up_Self	That's better.
PartyBanter/&Cynical3_Light_up_Self	A bit of light won't hurt.
PartyBanter/&Cynical1_Break_Stealth_Self	Damn it!
PartyBanter/&Cynical2_Break_Stealth_Self	That's on me.
PartyBanter/&Cynical3_Break_Stealth_Self	What went wrong there?
PartyBanter/&Cynical1_Critical_Hit_Given_Self	How does that feel?
PartyBanter/&Cynical2_Critical_Hit_Given_Self	Well deserved!
PartyBanter/&Cynical3_Critical_Hit_Given_Self	Take that!
PartyBanter/&Cynical1_Normal_Hit_Given_Self	Got you!
PartyBanter/&Cynical2_Normal_Hit_Given_Self	You like it?
PartyBanter/&Cynical3_Normal_Hit_Given_Self	Too slow!
PartyBanter/&Cynical4_Normal_Hit_Given_Self	That must have hurt.
PartyBanter/&Cynical5_Normal_Hit_Given_Self	Touché!
PartyBanter/&Cynical1_Missed_Attack_Self	Damn it!
PartyBanter/&Cynical2_Missed_Attack_Self	What?
PartyBanter/&Cynical3_Missed_Attack_Self	I was sure…
PartyBanter/&Cynical4_Missed_Attack_Self	How did I miss?
PartyBanter/&Cynical5_Missed_Attack_Self	You're just lucky!
PartyBanter/&Cynical1_Kill_Enemy_Self	And the winner is - me!
PartyBanter/&Cynical2_Kill_Enemy_Self	You lose!
PartyBanter/&Cynical3_Kill_Enemy_Self	Another victory!
PartyBanter/&Cynical4_Kill_Enemy_Self	You never stood a chance!
PartyBanter/&Cynical5_Kill_Enemy_Self	Another one bites the dust!
PartyBanter/&Cynical1_Healed_by_ally_Self	I owe you one!
PartyBanter/&Cynical2_Healed_by_ally_Self	I kind of liked that.
PartyBanter/&Cynical3_Healed_by_ally_Self	Thanks, I feel better.
PartyBanter/&Cynical1_Allied_KnockedDown_Self	No!
PartyBanter/&Cynical2_Allied_KnockedDown_Self	Hold on!
PartyBanter/&Cynical3_Allied_KnockedDown_Self	We need you!
PartyBanter/&Cynical1_Trap_Trigerred_Other	Looks like you found something.
PartyBanter/&Cynical2_Trap_Trigerred_Other	Really? You didn't see that?
PartyBanter/&Cynical3_Trap_Trigerred_Other	Only a fool would… oh, wait.
PartyBanter/&Cynical1_Trap_Disarmed_Other	This was clearly broken already.
PartyBanter/&Cynical2_Trap_Disarmed_Other	Just lucky, I guess.
PartyBanter/&Cynical3_Trap_Disarmed_Other	Well! You're not completely useless after all!
PartyBanter/&Cynical1_Long_Jump_Other	You're not too rusty.
PartyBanter/&Cynical2_Long_Jump_Other	Easy on your ankles!
PartyBanter/&Cynical3_Long_Jump_Other	Artistic note - not great.
PartyBanter/&Cynical1_High_Climb_Other	Nice little warm-up.
PartyBanter/&Cynical2_High_Climb_Other	I know kids who'd do that faster.
PartyBanter/&Cynical3_High_Climb_Other	A real little goblin.
PartyBanter/&Cynical1_Break_Stealth_Other	Did we not say "silent"?
PartyBanter/&Cynical2_Break_Stealth_Other	I thought we said "cautious."
PartyBanter/&Cynical3_Break_Stealth_Other	Can't say I'm surprised.
PartyBanter/&Cynical1_Pushing_Heavy_Other	Heave ho!
PartyBanter/&Cynical2_Pushing_Heavy_Other	Come on - push!
PartyBanter/&Cynical1_Crawling_Other	You don't mind being on your knees, do you?
PartyBanter/&Cynical2_Crawling_Other	Looks like you've been doing that all your life.
PartyBanter/&Cynical1_Critical_Hit_Received_Other	Hold it!
PartyBanter/&Cynical2_Critical_Hit_Received_Other	Stay with us!
PartyBanter/&Cynical1_Normal_Hit_Received_Other	Are you okay?
PartyBanter/&Cynical2_Normal_Hit_Received_Other	You've seen worse!
PartyBanter/&Cynical1_Critical_Hit_Given_Other	That's the way!
PartyBanter/&Cynical2_Critical_Hit_Given_Other	Nice!
PartyBanter/&Cynical3_Critical_Hit_Given_Other	Impressive!
PartyBanter/&Cynical1_Normal_Hit_Given_Other	Nice move!
PartyBanter/&Cynical2_Normal_Hit_Given_Other	Again!
PartyBanter/&Cynical3_Normal_Hit_Given_Other	Good!
PartyBanter/&Cynical1_Missed_Attack_Other	Come on, you can do better!
PartyBanter/&Cynical2_Missed_Attack_Other	Try again!
PartyBanter/&Cynical3_Missed_Attack_Other	Another miss?
PartyBanter/&Cynical1_Kill_Enemy_Other	Hey! That was mine!
PartyBanter/&Cynical2_Kill_Enemy_Other	That one didn't even fight back.
PartyBanter/&Cynical3_Kill_Enemy_Other	Not too bad.
PartyBanter/&Serious1_Trap_Detected_Self	Damn! A trap!
PartyBanter/&Serious2_Trap_Detected_Self	Stop! A trap!
PartyBanter/&Serious3_Trap_Detected_Self	There's a trap!
PartyBanter/&Serious1_Secret_door_Detected_Self	Hey - a secret door!
PartyBanter/&Serious2_Secret_door_Detected_Self	Found a door, here!
PartyBanter/&Serious3_Secret_door_Detected_Self	We have a hidden door!
PartyBanter/&Serious1_Trap_Trigerred_Self	Crap!
PartyBanter/&Serious2_Trap_Trigerred_Self	Damn it!
PartyBanter/&Serious3_Trap_Trigerred_Self	I hate those!
PartyBanter/&Serious1_Trap_Disarmed_Self	Easy.
PartyBanter/&Serious2_Trap_Disarmed_Self	Piece of junk.
PartyBanter/&Serious3_Trap_Disarmed_Self	Done and done.
PartyBanter/&Serious1_Light_up_Self	I needed that.
PartyBanter/&Serious2_Light_up_Self	Light, at last.
PartyBanter/&Serious3_Light_up_Self	Light, my friend.
PartyBanter/&Serious1_Break_Stealth_Self	Damn!
PartyBanter/&Serious2_Break_Stealth_Self	No!
PartyBanter/&Serious3_Break_Stealth_Self	Clumsy idiot!
PartyBanter/&Serious1_Critical_Hit_Given_Self	Bleed!
PartyBanter/&Serious2_Critical_Hit_Given_Self	Die!
PartyBanter/&Serious3_Critical_Hit_Given_Self	You like that?
PartyBanter/&Serious1_Normal_Hit_Given_Self	Take that!
PartyBanter/&Serious2_Normal_Hit_Given_Self	Wait till the next one!
