Equipment/&CEHalberdTypeTitle	Alabarde
Equipment/&CEHandXbowTypeTitle	Balestre a mano
Equipment/&CELongMaceTypeTitle	Mazze lunghe
Equipment/&CEPikeTypeTitle	Picchi
Equipment/&DruidicAmuletDescription	Questo amuleto totemico può essere usato come punto focale per lanciare incantesimi druidici.
Equipment/&DruidicAmuletTitle	Amuleto druidico
Equipment/&Enchanted_Club_Acuteness_Description	Quest'arma incantata è stata creata utilizzando l'antica conoscenza dei maestri fabbri di Manacalon. Il suo design è stato uno dei primi lavori di Elgador Keenspirit, Magesmith of the Arcaneum.
Equipment/&Enchanted_Club_Acuteness_Title	Club dell'Acutezza
Equipment/&Enchanted_Club_Bearclaw_Description	Quest'arma incantata è stata forgiata utilizzando l'antica conoscenza dei maestri fabbri di Manacalon. Le punte aguzze dell'artiglio dell'orso distruggono l'armatura per infliggere danni aggiuntivi. La prima arma di questo tipo è stata progettata da Ildurial Stronghand.
Equipment/&Enchanted_Club_Bearclaw_Title	Club degli artigli d'orso
Equipment/&Enchanted_Club_Lightbringer_Description	Quest'arma incantata è stata forgiata utilizzando l'antica conoscenza dei maestri fabbri di Colthannin. È stato progettato da Elgador Keenspirit, Magesmith dell'Arcaneum per supportare il combattimento contro le creature non morte.
Equipment/&Enchanted_Club_Lightbringer_Title	Club dei Portatori di Luce
Equipment/&Enchanted_Club_Power_Description	Quest'arma incantata è stata forgiata utilizzando l'antica conoscenza dei maestri fabbri di Manacalon. Alcune creature rispettano solo le forze fisiche. Gli arcanisti di Manacalon hanno creato questo club per dare ai campioni delle Legioni di Ferro la forza che i loro corpi elfici non fornivano.
Equipment/&Enchanted_Club_Power_Title	Club del potere
Equipment/&Enchanted_Club_Punisher_Description	Quest'arma incantata è stata creata utilizzando l'antica conoscenza dei maestri fabbri di Manacalon. La combinazione del miglior metallo e Slavestone ha conferito a questa ascia un incredibile potere perforante.
Equipment/&Enchanted_Club_Punisher_Title	Club dei Punitori
Equipment/&Enchanted_Dart_Acuteness_Description	Quest'arma incantata è stata creata utilizzando l'antica conoscenza dei maestri fabbri di Manacalon. Il suo design è stato uno dei primi lavori di Elgador Keenspirit, Magesmith of the Arcaneum.
Equipment/&Enchanted_Dart_Acuteness_Title	Dardo di acutezza
Equipment/&Enchanted_Dart_Frostburn_Description	Quest'arma incantata è stata creata utilizzando l'antica conoscenza dei maestri fabbri di Manacalon. È stato progettato da Keliandir Moltenheart, che ha forgiato quest'arma per combattere le salamandre dopo che un'esplorazione dei piani elementali è andata storta.
Equipment/&Enchanted_Dart_Frostburn_Title	Freccetta Gelata
Equipment/&Enchanted_Dart_Sharpness_Description	Quest'arma incantata è stata creata utilizzando l'antica conoscenza dei maestri fabbri di Manacalon. Il suo design è stato uno dei primi lavori di Elgador Keenspirit, Magesmith of the Arcaneum.
Equipment/&Enchanted_Dart_Sharpness_Title	Dardo di nitidezza
Equipment/&Enchanted_Dart_Souldrinker_Description	Quest'arma incantata è stata creata utilizzando l'antica conoscenza dei maestri fabbri di Manacalon. Una delle preferite dagli agenti Silent Whisper, quest'arma è stata progettata da Cylordir Redblade.
Equipment/&Enchanted_Dart_Souldrinker_Title	Dardo bevitore di anime
Equipment/&Enchanted_Handaxe_Acuteness_Description	Quest'arma incantata è stata creata utilizzando l'antica conoscenza dei maestri fabbri di Manacalon. Il suo design è stato uno dei primi lavori di Elgador Keenspirit, Magesmith of the Arcaneum.
Equipment/&Enchanted_Handaxe_Acuteness_Title	Ascia dell'acutezza
Equipment/&Enchanted_Handaxe_Frostburn_Description	Quest'arma incantata è stata creata utilizzando l'antica conoscenza dei maestri fabbri di Manacalon. È stato progettato da Keliandir Moltenheart, che ha forgiato quest'arma per combattere le salamandre dopo che un'esplorazione dei piani elementali è andata storta.
