PartyBanter/&Cynical1_Trap_Detected_Self	Espera! Uma armadilha!
PartyBanter/&Cynical2_Trap_Detected_Self	Espera aí! Uma armadilha!
PartyBanter/&Cynical3_Trap_Detected_Self	Estou vendo uma armadilha.
PartyBanter/&Cynical1_Secret_door_Detected_Self	Olha! Uma porta secreta!
PartyBanter/&Cynical2_Secret_door_Detected_Self	Tem uma porta aqui.
PartyBanter/&Cynical3_Secret_door_Detected_Self	Estou vendo uma porta escondida.
PartyBanter/&Cynical1_Trap_Trigerred_Self	Como eu não vi isso?
PartyBanter/&Cynical2_Trap_Trigerred_Self	Tava só me esperando!
PartyBanter/&Cynical3_Trap_Trigerred_Self	Já fui mais inteligente!
PartyBanter/&Cynical1_Trap_Disarmed_Self	Fácil demais!
PartyBanter/&Cynical2_Trap_Disarmed_Self	Preciso só de uma mão.
PartyBanter/&Cynical3_Trap_Disarmed_Self	Fácil, fácil.
PartyBanter/&Cynical1_Light_up_Self	Que haja luz!
PartyBanter/&Cynical2_Light_up_Self	Bem melhor.
PartyBanter/&Cynical3_Light_up_Self	Um pouco de luz não faz mal.
PartyBanter/&Cynical1_Break_Stealth_Self	Droga!
PartyBanter/&Cynical2_Break_Stealth_Self	Culpa minha.
PartyBanter/&Cynical3_Break_Stealth_Self	O que deu errado?
PartyBanter/&Cynical1_Critical_Hit_Given_Self	Doeu?
PartyBanter/&Cynical2_Critical_Hit_Given_Self	Foi merecido!
PartyBanter/&Cynical3_Critical_Hit_Given_Self	Toma essa!
PartyBanter/&Cynical1_Normal_Hit_Given_Self	Te peguei!
PartyBanter/&Cynical2_Normal_Hit_Given_Self	Gostou?
PartyBanter/&Cynical3_Normal_Hit_Given_Self	Que lerdeza!
PartyBanter/&Cynical4_Normal_Hit_Given_Self	Deve ter doído.
PartyBanter/&Cynical5_Normal_Hit_Given_Self	Touché!
PartyBanter/&Cynical1_Missed_Attack_Self	Que droga!
PartyBanter/&Cynical2_Missed_Attack_Self	O quê?
PartyBanter/&Cynical3_Missed_Attack_Self	Eu tinha certeza...
PartyBanter/&Cynical4_Missed_Attack_Self	Como eu errei?
PartyBanter/&Cynical5_Missed_Attack_Self	Quanta sorte, a sua!
PartyBanter/&Cynical1_Kill_Enemy_Self	E a vitória é... minha!
PartyBanter/&Cynical2_Kill_Enemy_Self	Perdeu!
PartyBanter/&Cynical3_Kill_Enemy_Self	Mais uma vitória!
PartyBanter/&Cynical4_Kill_Enemy_Self	Você nunca ofereceu perigo!
PartyBanter/&Cynical5_Kill_Enemy_Self	Mais um pro saco!
PartyBanter/&Cynical1_Healed_by_ally_Self	Te devo uma!
PartyBanter/&Cynical2_Healed_by_ally_Self	Eu meio que curti.
PartyBanter/&Cynical3_Healed_by_ally_Self	Valeu, estou bem melhor.
PartyBanter/&Cynical1_Allied_KnockedDown_Self	Não!
PartyBanter/&Cynical2_Allied_KnockedDown_Self	Aguenta aí!
PartyBanter/&Cynical3_Allied_KnockedDown_Self	Precisamos de você!
PartyBanter/&Cynical1_Trap_Trigerred_Other	Parece que você achou alguma coisa.
PartyBanter/&Cynical2_Trap_Trigerred_Other	Sério? Não tinha visto?
PartyBanter/&Cynical3_Trap_Trigerred_Other	Tem que ser muito idiota pra... ah, espera.
PartyBanter/&Cynical1_Trap_Disarmed_Other	Isso claramente já estava quebrado.
PartyBanter/&Cynical2_Trap_Disarmed_Other	Acho que foi sorte.
PartyBanter/&Cynical3_Trap_Disarmed_Other	Ora! Você não é completamente inútil, afinal!
PartyBanter/&Cynical1_Long_Jump_Other	Até que você não tá tão ruim.
PartyBanter/&Cynical2_Long_Jump_Other	Cuidado com o tornozelo!
PartyBanter/&Cynical3_Long_Jump_Other	Nota artística: nada boa.
PartyBanter/&Cynical1_High_Climb_Other	Bom aquecimento.
PartyBanter/&Cynical2_High_Climb_Other	Conheço crianças que fazem isso mais rápido.
PartyBanter/&Cynical3_High_Climb_Other	Um pequeno goblin real.
PartyBanter/&Cynical1_Break_Stealth_Other	Não falamos "silencioso"?
PartyBanter/&Cynical2_Break_Stealth_Other	Achei que tínhamos dito "com cuidado".
PartyBanter/&Cynical3_Break_Stealth_Other	Não posso fingir surpresa.
PartyBanter/&Cynical1_Pushing_Heavy_Other	Upa, ô!
PartyBanter/&Cynical2_Pushing_Heavy_Other	Vamos, empurra!
PartyBanter/&Cynical1_Crawling_Other	Vocês não ligam de ficar de joelhos, né?
PartyBanter/&Cynical2_Crawling_Other	Parece que vocês fizeram isso a vida toda.
PartyBanter/&Cynical1_Critical_Hit_Received_Other	Segura aí!
PartyBanter/&Cynical2_Critical_Hit_Received_Other	Fica com a gente!
PartyBanter/&Cynical1_Normal_Hit_Received_Other	Tudo bem?
PartyBanter/&Cynical2_Normal_Hit_Received_Other	Você já viu coisa pior!
PartyBanter/&Cynical1_Critical_Hit_Given_Other	Mandou bem!
PartyBanter/&Cynical2_Critical_Hit_Given_Other	Legal!
PartyBanter/&Cynical3_Critical_Hit_Given_Other	Impressionante!
PartyBanter/&Cynical1_Normal_Hit_Given_Other	Que execução!
PartyBanter/&Cynical2_Normal_Hit_Given_Other	De novo!
PartyBanter/&Cynical3_Normal_Hit_Given_Other	Boa!
PartyBanter/&Cynical1_Missed_Attack_Other	Qual é, você consegue fazer melhor!
PartyBanter/&Cynical2_Missed_Attack_Other	Tenta de novo!
PartyBanter/&Cynical3_Missed_Attack_Other	Errou de novo?
PartyBanter/&Cynical1_Kill_Enemy_Other	Ei! Esse era meu!
PartyBanter/&Cynical2_Kill_Enemy_Other	Esse nem contra-atacou.
PartyBanter/&Cynical3_Kill_Enemy_Other	Nada mau.
PartyBanter/&Serious1_Trap_Detected_Self	Droga! Uma armadilha!
PartyBanter/&Serious2_Trap_Detected_Self	Para! Uma armadilha!
PartyBanter/&Serious3_Trap_Detected_Self	Tem uma armadilha!
PartyBanter/&Serious1_Secret_door_Detected_Self	Ei! Uma porta secreta!
PartyBanter/&Serious2_Secret_door_Detected_Self	Encontrei uma porta aqui!
PartyBanter/&Serious3_Secret_door_Detected_Self	Temos uma porta escondida!
PartyBanter/&Serious1_Trap_Trigerred_Self	Porcaria!
PartyBanter/&Serious2_Trap_Trigerred_Self	Droga!
PartyBanter/&Serious3_Trap_Trigerred_Self	Odeio isso!
PartyBanter/&Serious1_Trap_Disarmed_Self	Fácil.
PartyBanter/&Serious2_Trap_Disarmed_Self	Que lixo.
PartyBanter/&Serious3_Trap_Disarmed_Self	Prontinho.
PartyBanter/&Serious1_Light_up_Self	Tava precisando.
PartyBanter/&Serious2_Light_up_Self	Luz, finalmente.
PartyBanter/&Serious3_Light_up_Self	Luz, camarada.
PartyBanter/&Serious1_Break_Stealth_Self	Droga!
PartyBanter/&Serious2_Break_Stealth_Self	Não!
PartyBanter/&Serious3_Break_Stealth_Self	Que trapalhada, idiota!
PartyBanter/&Serious1_Critical_Hit_Given_Self	Sangra!
PartyBanter/&Serious2_Critical_Hit_Given_Self	Morre!
PartyBanter/&Serious3_Critical_Hit_Given_Self	Gostou?
PartyBanter/&Serious1_Normal_Hit_Given_Self	Toma essa!
PartyBanter/&Serious2_Normal_Hit_Given_Self	Espera só a próxima!
PartyBanter/&Serious3_Normal_Hit_Given_Self	Tem mais chegando.
PartyBanter/&Serious4_Normal_Hit_Given_Self	Vai morrer, como o restante!
PartyBanter/&Serious5_Normal_Hit_Given_Self	Sem pena!
PartyBanter/&Serious1_Missed_Attack_Self	Droga!
PartyBanter/&Serious2_Missed_Attack_Self	Não!
PartyBanter/&Serious3_Missed_Attack_Self	Ah, não!
PartyBanter/&Serious4_Missed_Attack_Self	Não vou errar na próxima vez!
PartyBanter/&Serious5_Missed_Attack_Self	Você vai morrer mesmo assim!
PartyBanter/&Serious1_Kill_Enemy_Self	Venci de novo.
PartyBanter/&Serious2_Kill_Enemy_Self	Perdeu.
PartyBanter/&Serious3_Kill_Enemy_Self	Vá pro inferno!
PartyBanter/&Serious4_Kill_Enemy_Self	Voltar, você não vai.
PartyBanter/&Serious5_Kill_Enemy_Self	Não conseguiu me pegar.
PartyBanter/&Serious1_Healed_by_ally_Self	Valeu.
PartyBanter/&Serious2_Healed_by_ally_Self	Vou lembrar disso.
PartyBanter/&Serious3_Healed_by_ally_Self	Te devo uma.
PartyBanter/&Serious1_Allied_KnockedDown_Self	Vamos lá! 
PartyBanter/&Serious2_Allied_KnockedDown_Self	Não me decepciona!
PartyBanter/&Serious3_Allied_KnockedDown_Self	Não!
PartyBanter/&Serious1_Trap_Trigerred_Other	Que idiota!
PartyBanter/&Serious2_Trap_Trigerred_Other	Abre o olho, trouxa!
PartyBanter/&Serious3_Trap_Trigerred_Other	Presta atenção!
PartyBanter/&Serious1_Trap_Disarmed_Other	Muito bem!
PartyBanter/&Serious2_Trap_Disarmed_Other	Um problema a menos.
PartyBanter/&Serious3_Trap_Disarmed_Other	Odeio isso!
PartyBanter/&Serious1_Long_Jump_Other	Que espetáculo!
PartyBanter/&Serious2_Long_Jump_Other	Belo salto!
PartyBanter/&Serious3_Long_Jump_Other	Muito bem!
PartyBanter/&Serious1_High_Climb_Other	Bons braços, os seus!
PartyBanter/&Serious2_High_Climb_Other	Eu duvidei de você!
PartyBanter/&Serious3_High_Climb_Other	Bom, você é forte mesmo.
PartyBanter/&Serious1_Break_Stealth_Other	Que mancada!
PartyBanter/&Serious2_Break_Stealth_Other	Não acredito!
PartyBanter/&Serious3_Break_Stealth_Other	Você vai matar a gente!
PartyBanter/&Serious1_Pushing_Heavy_Other	Vamos, mais força!
PartyBanter/&Serious2_Pushing_Heavy_Other	Empurra!
PartyBanter/&Serious1_Crawling_Other	Mergulhando na terra.
PartyBanter/&Serious2_Crawling_Other	Rastejando pela terra: nada de novo.
PartyBanter/&Serious1_Critical_Hit_Received_Other	Vai dar uma boa cicatriz!
PartyBanter/&Serious2_Critical_Hit_Received_Other	O que não te mata...
PartyBanter/&Serious1_Normal_Hit_Received_Other	Anda que passa!
PartyBanter/&Serious2_Normal_Hit_Received_Other	Aguenta!
PartyBanter/&Serious1_Critical_Hit_Given_Other	Agora sim!
